"The Dream of Delphi","Bat For Lashes","The Dream of Delphi","2024-12-06T21:45:59Z","5NlTw8wCGET2YD1aajWglq"
"World War","Body Count","Merciless","2024-12-06T21:33:23Z","6jAxxNVtD02L5i4PfqAsvx"
"Comfortably Numb","Body Count","Merciless","2024-12-06T21:19:16Z","1jJofHsjBJn9HBxVAIAadZ"
"Wait and Bleed","Slipknot","Slipknot (10th Anniversary Edition)","2024-12-05T08:36:18Z","2gscB6kDOmrv1P6qs2KXE3"
"Trail","Amarok","Hope","2024-12-04T15:11:11Z","38Q6QptAXKJqPrLEpLFrMH"
"It's Only Love - 2008 Remaster","Simply Red","A New Flame (Expanded Version)","2024-12-04T11:09:42Z","6i1uWZYWabNHq2wQnoca58"
"No Future","Belief Defect","Decadent yet Depraved","2024-12-03T22:47:16Z","2TTOKIeWxz4bMm2saD4T4L"
"Underneath The Stars","The Cure","4:13 Dream","2024-12-01T21:36:04Z","0PKVjYlKw7z3IvKAoxrYTR"
"Intruder","Outframe","Intruder","2024-11-30T18:41:46Z","6SSe0vhP1GcCePDA0f9iwQ"
"FUTURE CLUB","MAGNAVOLT","FUTURE CLUB","2024-11-30T18:33:38Z","3z2rbBjXieUxkkKfdcXncS"
"NIGHTBREED","Owl Vision","NIGHTBREED","2024-11-30T18:12:57Z","2rrNfVvnDB55XIKnoiubZM"
"Imaginary Lover","My Brightest Diamond","Fight The Real Terror","2024-11-30T17:01:16Z","4zSJWBnDVwaf6FI8CnbTk3"
"Close To Me","The Cure","The Head On The Door","2024-11-30T16:02:42Z","1JcK6hdFLKddUVlm0JQeWj"
"Inbetween Days","The Cure","The Head On The Door","2024-11-30T15:42:51Z","4CRpOsjhvgxjF7rQufmyZ1"
"El Infierno Está Cerca","St. Vincent","Todos Nacen Gritando","2024-11-30T13:25:26Z","2PorsG3wc8DeFa5MRNi7jh"
"Music to Take Teeth By","Dreamwell","Death Goals // Dreamwell Split","2024-11-30T08:16:30Z","1F9DaBTCheZmxJfVTThQYP"
"Protection","Alcest","Spiritual Instinct","2024-11-30T07:32:22Z","4bHFJc0ZIgz2lhdy9hFQA7"
"Les jardins de minuit","Alcest","Spiritual Instinct","2024-11-30T07:23:19Z","4BCbJuo6vNR6zsgaf7hath"
"Kodama","Alcest","Kodama","2024-11-29T15:53:02Z","300bSfVhnNrXHZEHKxQjPU"
"Eclosion","Alcest","Kodama","2024-11-29T15:53:01Z","4sRWnJytz2RrLZgl1kMlRL"
"L'Enfant de la Lune (月の子)","Alcest","Les Chants de l'Aurore","2024-11-29T13:56:48Z","06Nd7e7PyHu5BPt0Qzbn7R"
"L'Envol","Alcest","Les Chants de l'Aurore","2024-11-29T13:34:20Z","49y4jrXiUxJ1XqzUmtcQje"
"Cannibal (feat. Anders Fridén)","VOLA","Friend Of A Phantom","2024-11-28T07:58:43Z","1prhJo0ltaMJa5T0Y7l0kz"
"Ljós í Stormi","Sólstafir","Svartir Sandar","2024-11-27T22:38:20Z","6wLct2wIcHzGpea3OpVarn"
"Blakkrakki","Sólstafir","Hin helga kvöl","2024-11-26T17:49:20Z","4oCiFKLtQPZ5pqEMqkyWHJ"
"Drýsill","Sólstafir","Endless Twilight of Codependent Love","2024-11-26T16:43:10Z","6lH4NOBwnbV80QB1fajj8k"
"Akkeri","Sólstafir","Endless Twilight of Codependent Love","2024-11-26T16:27:24Z","7jOBnbZ2981FduVFibmu0d"
"Bláfjall","Sólstafir","Berdreyminn (Deluxe)","2024-11-26T11:03:34Z","6lKY6TJp1AUcoxxehie9BC"
"Ísafold","Sólstafir","Berdreyminn (Deluxe)","2024-11-26T10:23:24Z","4arIwQG6W95pIjzWpmaeYc"
"Light Fuse And Get Away","Dream Theater","When Dream And Day Unite","2024-11-24T23:04:06Z","5iF30xPjDazgvtKnR9ix1A"
"Status Seeker","Dream Theater","When Dream And Day Unite","2024-11-24T22:33:30Z","3K2MlRP7SNWEkL1D1U3Z3o"
"One Hundred Years","The Cure","Pornography","2024-11-23T22:21:21Z","5D9ArD78F5e39isS8BNCfl"
"Cold","The Cure","Pornography","2024-11-23T22:20:56Z","7szlT0w1nnxDjVSSVvpsUu"
"The Holy Hour","The Cure","Faith","2024-11-23T21:47:26Z","49t8S9PI02zVSH9wITsbaA"
"Seventeen Seconds","The Cure","Seventeen Seconds","2024-11-23T21:39:34Z","7a0qnwZEX4hCTRaT3ZB3NW"
"The Glass Prison","Dream Theater","Six Degrees of Inner Turbulence","2024-11-23T14:23:03Z","4IuVWyD0fgFvX6V5CL0mHC"
"A Forest","The Cure","Seventeen Seconds","2024-11-23T12:13:49Z","4iVTSRiJAA18d3QglhyJ6Q"
"Sacrifice Of The Mass","Marilyn Manson","One Assassination Under God - Chapter 1","2024-11-22T14:16:52Z","1mbeRDB8U8sxyro8NJ1kDt"
"Death Is Not A Costume","Marilyn Manson","One Assassination Under God - Chapter 1","2024-11-22T14:02:41Z","5VqQDQjFZbn56SWtq5CWO9"
